序號,開標日期,股票代號,CB代號,名稱,股本,發行規模,年期,擔保,信用評等,競拍張數,底標價,截標日,截標收盤,轉換價,訂價溢價率,理論價,最低得標,最低溢價,平均得標,平均溢價,發行券商,產業分類,合格件數,投標張數,投標倍數,投標均張,投標開始日,最高投(得)標數量(張),撥券日,得標總金額,得標手續費率(%),最高得標價格(元),承銷價格(元)
1,2019-03-22 00:00:00,4943,49431,康控一KY,15.7,15.0,3,無擔保,9,13500,100.0,2019-03-20 00:00:00,124.5,121.1,1.02,102.8075970272502,100.5,-0.02244578313253032,102.07,-0.00717453815261071,中信證券,電子零組件業,829,19751,1.463037037037037,23.82509047044632,2019/03/18,1350.0,2019/04/02,1377907550.0,1.0,159.0,102.07
2,2019-09-02 00:00:00,4736,47363,泰博三,9.22,15.0,5,有擔保,4,12752,100.0,2019-08-07 00:00:00,126.0,140.0,1.0566,90.0,107.17,0.1907777777777777,108.46,0.205111111111111,凱基證券,生技醫療業,1559,54356,4.262547051442911,34.86593970493907,2019/08/05,1275.0,2019/08/21,1394223850.0,0.5,140.1,109.33
3,2019-11-04 00:00:00,8028,80281,昇陽一,13.2,10.0,3,無擔保,6,8732,102.0,2019-10-31 00:00:00,76.8,76.1,1.02,100.9198423127464,108.45,0.07461523437499995,109.92,0.08918124999999999,富邦證券,半導體業,1063,31398,3.595739807604214,29.53715898400753,,,,,,,
4,2019-12-02 00:00:00,2729,27291,瓦城一,2.33,8.0,3,無擔保,5,6880,102.0,2019-11-28 00:00:00,286.0,300.0,1.0722,95.33333333333334,102.81,0.07842657342657344,107.3,0.1255244755244753,富邦證券,觀光餐旅,674,11341,1.648401162790698,16.82640949554896,,,,,,,
5,2019-12-11 00:00:00,6477,64771,安集一,11.4,3.0,5,無擔保,6,2550,100.0,2019-12-09 00:00:00,22.65,23.0,1.02,98.47826086956522,100.51,0.02063134657836652,101.59,0.03159823399558492,福邦證券,光電業,187,4116,1.614117647058823,22.01069518716578,2019/12/05,255.0,2019/12/20,259066700.0,0.5,109.22,101.59
6,2020-01-06 00:00:00,3617,36171,碩天一,8.1,12.0,3,無擔保,5,10200,101.5,2020-01-02 00:00:00,113.0,122.0,1.0961,92.62295081967213,104.1,0.1239115044247787,105.23,0.1361115044247789,宏遠證券,其他電子業,882,24587,2.410490196078432,27.87641723356009,2019/12/30,1020.0,2020/01/15,1073334860.0,0.5,141.0,105.23
7,2020-01-08 00:00:00,1436,14361,華友聯一,9.56,3.0,5,有擔保,8,2550,100.0,2020-01-06 00:00:00,40.95,40.0,1.0521,102.375,106.66,0.04185592185592157,107.73,0.05230769230769217,第一金證,建材營造業,372,7637,2.994901960784314,20.52956989247312,2020/01/02,255.0,2020/01/17,274721790.0,0.5,120.0,107.73
8,2020-01-09 00:00:00,3594,35943,磐儀三,7.16,3.0,3,無擔保,7,2550,100.0,2020-01-07 00:00:00,25.45,22.8,1.02,111.6228070175439,101.65,-0.08934381139489189,104.86,-0.06058624754420439,福邦證券,電腦及週邊設備業,241,4769,1.870196078431372,19.78838174273859,2020/01/03,255.0,2020/01/20,267389720.0,0.5,115.3,104.86
9,2020-02-06 00:00:00,4967,49671,十銓一,7.45,5.0,3,有擔保,6,4250,102.0,2020-02-04 00:00:00,36.55,33.9,1.0688,107.8171091445428,110.7,0.02673871409028727,112.21,0.04074391244870035,群益證券,半導體業,444,11307,2.660470588235294,25.46621621621622,2020/01/31,425.0,2020/02/17,476883600.0,0.5,119.6,112.21
10,2020-02-18 00:00:00,2466,24663,冠希電三,15.6,3.0,3,有擔保,8,2660,102.0,2020-02-14 00:00:00,34.9,38.0,1.08,91.84210526315789,103.11,0.1226876790830946,104.5,0.1378223495702007,中信證券,光電業,481,5011,1.883834586466165,10.41787941787942,2020/02/12,266.0,2020/02/27,277980900.0,0.5,110.0,104.5
11,2020-02-19 00:00:00,4175,41752,杏一二,3.16,3.0,5,無擔保,6,2550,102.0,2020-02-17 00:00:00,72.9,77.3,1.0503,94.3078913324709,102.65,0.08845610425240058,103.62,0.09874156378600807,國泰證券,生技醫療業,190,4108,1.610980392156863,21.62105263157895,2020/02/13,255.0,2020/03/02,264225240.0,0.5,110.0,103.62
12,2020-02-26 00:00:00,2228,22282,劍麟二,7.58,3.0,3,無擔保,5,2550,100.0,2020-02-24 00:00:00,95.2,106.23,1.05,89.61686905770499,104.5,0.1660751050420166,105.98,0.1825898529411765,元大證券,汽車工業,416,11327,4.441960784313726,27.22836538461538,2020/02/20,255.0,2020/03/09,270260630.0,0.5,110.0,105.98
13,2020-04-20 00:00:00,6150,61504,撼訊四,4.49,4.0,3,無擔保,8,3550,100.0,2020-04-16 00:00:00,42.8,34.5,1.02,124.0579710144927,102.22,-0.1760303738317756,106.83,-0.1388703271028037,宏遠證券,電腦及週邊設備業,221,4439,1.250422535211268,20.08597285067873,2020/04/14,355.0,2020/04/29,379239070.0,0.5,117.33,106.83
14,2020-05-11 00:00:00,4919,49191,新唐一,39.1,20.0,7,無擔保,4,5361,100.0,2020-05-07 00:00:00,39.15,39.9,1.0828,98.1203007518797,100.0,0.0191570881226053,100.91,0.02843141762452106,中信證券,半導體業,473,5361,1.0,11.33403805496829,2020/05/05,1800.0,2020/05/20,540953740.0,0.5,110.0,100.0
15,2020-05-28 00:00:00,6189,61893,豐藝三,18.3,10.0,3,無擔保,4,3740,101.0,2020-05-26 00:00:00,34.4,34.5,1.0213,99.71014492753622,101.0,0.01293604651162794,103.94,0.04242151162790697,群益證券,電子通路業,192,3740,1.0,19.47916666666667,2020/05/22,850.0,2020/06/08,388726950.0,0.5,498.0,101.0
16,2020-07-31 00:00:00,9958,99584,世紀鋼四,23.1,15.0,3,無擔保,5,10544,100.0,2020-07-29 00:00:00,92.8,90.88,1.02,102.112676056338,100.0,-0.02068965517241383,101.13,-0.009623448275862145,群益證券,鋼鐵工業,426,10544,1.0,24.75117370892019,2020/07/27,1275.0,2020/08/11,1066290440.0,0.5,110.0,100.0
17,2020-08-06 00:00:00,9802,98025,鈺齊五KY,18.6,5.0,3,無擔保,4,4250,100.0,2020-08-04 00:00:00,105.0,112.0,1.0228,93.75,105.5,0.1253333333333333,106.55,0.1365333333333334,國票證券,運動休閒,648,19271,4.53435294117647,29.7391975308642,2020/07/31,425.0,2020/08/17,452831280.0,0.5,110.1,106.55
18,2020-08-25 00:00:00,1589,15893,永冠三KY,11.1,15.0,5,無擔保,6,12750,100.0,2020-08-21 00:00:00,99.0,100.0,1.0249,99.0,101.5,0.0252525252525253,103.56,0.04606060606060614,中信證券,電機機械,941,24755,1.94156862745098,26.30712008501594,2020/08/19,1275.0,2020/09/03,1320378820.0,0.5,120.02,103.56
19,2020-08-26 00:00:00,2937,29371,集雅社一,3.29,2.5,3,有擔保,6,2125,104.0,2020-08-24 00:00:00,33.95,39.0,1.1468,87.05128205128206,104.6,0.2015905743740793,106.1,0.2188217967599408,富邦證券,居家生活,177,2989,1.406588235294118,16.88700564971752,2020/08/20,212.0,2020/09/04,225465300.0,0.5,120.0,106.1
20,2020-09-24 00:00:00,4967,49672,十銓二,7.45,8.0,3,有擔保,6,6880,102.0,2020-09-22 00:00:00,37.1,42.0,1.1468,88.33333333333334,105.0,0.1886792452830188,106.47,0.2053207547169811,第一金證,半導體業,692,16215,2.356831395348837,23.43208092485549,2020/09/18,688.0,2020/10/07,732547700.0,0.5,240.0,106.47
21,2020-09-24 00:00:00,8044,80441,網家一,11.8,15.0,3,有擔保,6,13304,103.0,2020-09-22 00:00:00,105.0,112.0,1.05861,93.75,105.77,0.1282133333333333,107.42,0.1458133333333334,凱基證券,數位雲端,1138,31470,2.365453998797354,27.65377855887522,2020/09/18,1330.0,2020/10/07,1429120140.0,1.5,230.0,107.42
22,2020-09-28 00:00:00,5263,52633,智崴三,5.68,7.0,5,無擔保,7,5951,100.0,2020-09-24 00:00:00,104.0,105.0,1.0211,99.04761904761905,100.7,0.01668269230769237,101.64,0.0261730769230768,台新證券,文化創意業,335,11333,1.904385817509662,33.82985074626865,2020/09/22,595.0,2020/10/12,604869400.0,0.5,115.0,101.64
23,2020-10-13 00:00:00,6629,66291,泰金一KY,3.57,2.0,3,無擔保,6,1700,100.0,2020-10-08 00:00:00,63.9,59.8,1.02,106.8561872909699,106.1,-0.007076682316119021,107.88,0.009581220657276956,中信證券,居家生活,574,8668,5.098823529411765,15.10104529616725,2020/10/06,170.0,2020/10/22,183392590.0,0.5,113.0,107.88
24,2020-10-21 00:00:00,6477,64772,安集二,11.4,3.0,5,無擔保,6,2550,100.0,2020-10-19 00:00:00,59.5,42.1,1.02,141.3301662707838,115.2,-0.1848873949579832,120.18,-0.149650756302521,國泰證券,光電業,599,8781,3.443529411764706,14.65943238731219,2020/10/15,255.0,2020/10/30,306465660.0,0.5,150.1,120.18
25,2020-10-21 00:00:00,5306,53063,桂盟三,12.6,10.0,3,有擔保,4,8500,103.0,2020-10-19 00:00:00,198.5,205.2,1.0502,96.73489278752437,106.1,0.09681209068010066,107.5,0.1112846347607053,凱基證券,運動休閒,718,19924,2.344,27.74930362116991,2020/10/15,850.0,2020/10/30,913722320.0,1.0,120.0,107.5
26,2020-11-23 00:00:00,2636,26364,台驊四,12.7,3.0,3,無擔保,4,2550,102.0,2020-11-19 00:00:00,37.85,40.0,1.0363,94.625,104.2,0.1011889035667106,105.09,0.1105944517833555,凱基證券,航運業,480,10480,4.109803921568627,21.83333333333333,2020/11/17,255.0,2020/12/02,267979230.0,0.5,108.69,105.09
27,2020-12-01 00:00:00,1626,16264,艾美特四KY,14.1,4.0,3,無擔保,7,3460,100.0,2020-11-27 00:00:00,26.25,27.0,1.07,97.22222222222221,100.0,0.02857142857142869,100.0,0.02857142857142869,凱基證券,電器電纜,96,1280,0.3699421965317919,13.33333333333333,2020/11/25,346.0,2020/12/10,129816450.0,0.5,106.02,100.0
28,2020-12-03 00:00:00,3489,34891,森寶一,8.31,1.0,3,有擔保,8,900,103.0,2020-12-01 00:00:00,13.0,13.85,1.14,93.86281588447653,105.99,0.1292011538461537,107.48,0.1450753846153847,合庫證券,建材營造業,223,2487,2.763333333333333,11.15246636771301,2020/11/27,90.0,2020/12/14,96729890.0,0.5,112.63,107.48
29,2020-12-04 00:00:00,3023,30237,信邦七,23.3,13.0,3,無擔保,4,11400,101.0,2020-12-02 00:00:00,206.0,203.0,1.0513,101.4778325123153,105.28,0.03746796116504858,108.3,0.06722815533980575,富邦證券,電子零組件業,1005,32101,2.815877192982456,31.94129353233831,2020/11/30,1140.0,2020/12/15,1234582540.0,0.5,158.28,108.3
30,2020-12-07 00:00:00,5546,55461,永固一KY,8.23,8.0,3,無擔保,7,6800,100.0,2020-12-03 00:00:00,83.9,78.8,1.0233,106.4720812182741,100.11,-0.05975351609058399,102.41,-0.03815160905840287,中信證券,建材營造業,427,9989,1.468970588235294,23.39344262295082,2020/12/01,680.0,2020/12/16,696364820.0,0.5,120.0,102.41
31,2021-01-25 00:00:00,6706,67061,惠特一,7.22,5.0,3,無擔保,5,4250,100.0,2021-01-21 00:00:00,157.5,168.0,1.05,93.75,108.16,0.1537066666666667,109.28,0.1656533333333334,凱基證券,光電業,930,22780,5.36,24.49462365591398,2021/1/19,425.0,2021/2/3,464426010.0,0.5,136.0,109.28
32,2021-02-26 00:00:00,3713,37131,新晶投控一,7.81,5.0,3,有擔保,7,4250,102.0,2021-02-24 00:00:00,54.6,53.8,1.0487,101.4869888475836,112.62,0.1096989010989011,113.92,0.122508424908425,第一金證,綠能環保,727,22095,5.198823529411765,30.39202200825309,2021/2/22,425.0,2021/3/10,484175190.0,0.5,120.0,113.92
33,2021-05-04 00:00:00,6251,62512,定穎二,27.8,5.0,3,無擔保,5,4250,101.0,2021-04-29 00:00:00,22.55,23.5,1.078,95.95744680851064,107.7,0.1223725055432372,110.1,0.1473835920177382,富邦證券,電子零組件業,734,13542,3.18635294117647,18.44959128065395,2021/4/27,425.0,2021/5/13,467936910.0,0.5,121.1,110.1
34,2021-05-04 00:00:00,1341,13411,富林KY一,4.94,1.5,3,無擔保,6,1275,100.0,2021-04-29 00:00:00,82.4,75.8,1.0218,108.7071240105541,112.2,0.03213106796116505,115.0,0.05788834951456301,中信證券,塑膠工業,436,6451,5.059607843137255,14.79587155963303,2021/4/27,127.0,2021/5/13,146628770.0,0.5,152.1,115.0
35,2021-05-06 00:00:00,3512,35121,皇龍一,8.4,4.0,3,有擔保,8,3400,100.0,2021-05-04 00:00:00,36.6,39.0,1.04,93.84615384615384,109.29,0.1645655737704919,112.04,0.1938688524590166,台新證券,建材營造業,420,8803,2.589117647058824,20.95952380952381,2021/4/29,340.0,2021/5/17,380938230.0,0.5,138.0,112.04
36,2021-05-06 00:00:00,6641,66411,基士德KY一,3.4,3.0,3,無擔保,5,2550,100.0,2021-05-04 00:00:00,71.6,76.0,1.05,94.21052631578947,101.5,0.07737430167597781,104.64,0.1107039106145253,永豐金證,綠能環保,189,3666,1.43764705882353,19.3968253968254,2021/4/29,255.0,2021/5/17,266842900.0,0.5,138.0,104.64
37,2021-06-02 00:00:00,6015,60151,宏遠一,33.1,7.0,5,無擔保,BBB,7000,100.0,2021-05-31 00:00:00,25.15,19.18,1.02,131.126173096976,114.7,-0.1252699801192841,117.8,-0.1016286282306162,凱基證券,證券業,747,21079,3.011285714285714,28.2182061579652,2021/5/27,700.0,2021/6/11,824581730.0,0.5,151.3,117.8
38,2021-06-10 00:00:00,6179,61792,亞通二,7.41,2.0,3,有擔保,6,1700,101.0,2021-06-10 00:00:00,32.75,32.9,1.02,99.54407294832828,114.33,0.1485364885496181,115.29,0.158180458015267,兆豐證券,其他業,613,11047,6.498235294117647,18.02120717781403,2021/6/4,170.0,2021/6/22,195992260.0,0.5,125.0,115.29
39,2021-07-01 00:00:00,2482,24822,連宇二,6.21,2.0,3,有擔保,7,1700,100.0,2021-07-01 00:00:00,12.5,12.65,1.0251,98.81422924901186,112.8,0.1415359999999999,114.15,0.1551979999999999,國票證券,其他電子業,311,6224,3.661176470588235,20.0128617363344,2021/6/25,170.0,2021/7/12,194053150.0,0.5,117.71,114.15
40,2021-07-08 00:00:00,6541,65481,長科一,31.2,15.0,5,有擔保,7,12750,102.0,2021-07-06 00:00:00,83.1,75.0,1.0417,110.8,118.28,0.0675090252707582,120.56,0.08808664259927812,凱基證券,生技醫療業,1154,41071,3.221254901960784,35.59012131715771,2021/7/2,1275.0,2021/7/19,1537201910.0,0.5,128.0,120.56
41,2021-07-09 00:00:00,8109,81091,博大一,7.76,3.0,3,無擔保,5,2550,100.0,2021-07-07 00:00:00,72.7,74.0,1.0207,98.24324324324326,109.8,0.1176341127922969,111.42,0.1341237964236588,凱基證券,電子零組件業,559,12744,4.99764705882353,22.79785330948122,2021/7/5,255.0,2021/7/20,284123890.0,0.5,116.23,111.42
42,2021-07-23 00:00:00,2338,23383,光罩三,25.3,20.0,5,無擔保,7,17200,102.0,2021-07-21 00:00:00,99.0,88.8,1.0242,111.4864864864865,112.56,0.009629090909091031,115.23,0.03357818181818195,凱基證券,半導體業,1154,33705,1.959593023255814,29.20710571923744,2021/7/19,1720.0,2021/8/3,1981888020.0,0.5,128.0,115.23
43,2021-07-23 00:00:00,3028,30284,增你強四,21.4,7.0,3,無擔保,6,5100,101.0,2021-07-21 00:00:00,27.65,29.0,1.0335,95.34482758620689,107.33,0.1257034358047018,109.18,0.1451066907775771,群益證券,電子通路業,562,15559,3.05078431372549,27.68505338078292,2021/7/19,510.0,2021/8/3,556814850.0,0.5,115.2,109.18
44,2021-07-26 00:00:00,6477,64773,安集三,11.4,5.0,5,無擔保,6,4250,100.0,2021-07-22 00:00:00,45.8,45.3,1.0215,101.1037527593819,103.88,0.02745938864628816,106.99,0.05821986899563303,福邦證券,光電業,321,7088,1.667764705882353,22.0809968847352,2021/7/20,425.0,2021/8/4,454703100.0,0.5,116.5,106.99
45,2021-07-26 00:00:00,6150,61505,撼訊五,4.49,7.0,3,無擔保,8,5950,100.0,2021-07-22 00:00:00,139.0,138.3,1.0207,100.5061460592914,100.23,-0.002747553956834348,104.29,0.03764798561151106,宏遠證券,電腦及週邊設備業,333,7459,1.253613445378151,22.3993993993994,2021/7/20,595.0,2021/8/4,620518730.0,0.5,120.0,104.29
46,2021-08-04 00:00:00,6209,62092,今國光二,16.3,3.5,3,有擔保,6,2975,100.0,2021-08-02 00:00:00,33.6,35.0,1.0355,96.00000000000001,113.3,0.1802083333333331,115.17,0.1996874999999998,國票證券,光電業,696,12874,4.327394957983193,18.49712643678161,2021/7/29,297.0,2021/8/13,342640330.0,0.5,123.5,115.17
47,2021-08-10 00:00:00,3533,35331,嘉澤一,10.3,10.0,3,無擔保,4,8800,102.0,2021-08-06 00:00:00,570.0,563.2,1.02,101.2073863636364,114.46,0.1309451228070175,115.45,0.1407270175438597,元大證券,電子零組件業,1352,37818,4.2975,27.97189349112426,2021/8/4,880.0,2021/8/19,1015932860.0,0.6,163.5,115.45
48,2021-08-24 00:00:00,3339,33394,泰谷四,4.33,3.0,3,有擔保,8,2550,102.0,2021-08-20 00:00:00,18.8,19.8,1.02,94.94949494949495,109.3,0.1511382978723403,110.98,0.168831914893617,富邦證券,光電業,315,7618,2.987450980392157,24.18412698412698,2021/8/18,255.0,2021/9/2,282999350.0,0.5,116.5,110.98
49,2021-08-31 00:00:00,6203,62031,海韻一,8.0,6.0,3,無擔保,5,5116,103.5,2021-08-27 00:00:00,97.2,95.8,1.02,101.4613778705637,111.1,0.09499794238683124,112.84,0.1121473251028806,富邦證券,電子零組件業,550,13263,2.592455043002345,24.11454545454545,2021/8/25,511.0,2021/9/9,577269840.0,0.5,119.0,112.84
50,2021-08-31 00:00:00,1582,15823,信錦三,12.4,12.0,3,無擔保,4,10320,100.0,2021-08-27 00:00:00,70.3,66.8,1.02,105.2395209580838,108.3,0.02908108108108087,111.87,0.06300369843527731,富邦證券,電子零組件業,640,18383,1.781298449612403,28.7234375,2021/8/25,1032.0,2021/9/9,1154510750.0,0.5,118.1,111.87
51,2021-09-07 00:00:00,3018,30184,同開四,7.31,3.5,3,有擔保,9,2975,102.0,2021-09-09 00:00:00,17.75,19.8,1.1,89.64646464646464,108.6,0.2114253521126761,110.84,0.2364123943661973,富邦證券,其他電子業,231,7623,2.562352941176471,33.0,2021/9/1,297.0,2021/9/16,329763570.0,0.5,115.11,110.84
52,2021-09-08 00:00:00,6190,61905,萬泰科五,14.0,3.0,3,無擔保,6,2550,101.0,2021-09-06 00:00:00,24.25,25.0,1.0183,97.0,103.8,0.07010309278350513,106.4,0.09690721649484546,元富證券,通信網路業,162,4229,1.65843137254902,26.10493827160494,2021/9/2,255.0,2021/9/17,271310080.0,0.5,111.8,106.4
53,2021-09-14 00:00:00,3122,31221,笙泉一,3.83,2.0,3,有擔保,6,1700,102.0,2021-09-10 00:00:00,50.3,52.0,1.0318,96.73076923076923,109.6,0.1330417495029821,111.71,0.1548548707753479,群益證券,半導體業,249,4909,2.887647058823529,19.714859437751,2021/9/8,170.0,2021/9/27,189899440.0,0.5,119.28,111.71
54,2021-09-14 00:00:00,3708,37083,上緯三,9.35,10.0,5,有擔保,6,8500,100.0,2021-09-10 00:00:00,91.4,99.0,1.0687,92.32323232323233,106.33,0.1517144420131289,108.38,0.1739190371991246,元大證券,綠能環保,373,13269,1.561058823529412,35.57372654155496,2021/9/8,850.0,2021/9/27,921263960.0,0.5,113.94,108.38
55,2021-09-15 00:00:00,3708,37084,上緯四,9.35,10.0,5,無擔保,6,8500,100.0,2021-09-13 00:00:00,89.7,95.0,1.0233,94.42105263157895,100.5,0.06438127090301005,103.45,0.09562430323299886,元大證券,綠能環保,180,9524,1.120470588235294,52.91111111111111,2021/9/9,850.0,2021/9/28,879359860.0,0.5,107.72,103.45
56,2021-09-15 00:00:00,8473,84732,山林水二,13.5,10.0,5,無擔保,6,8500,101.0,2021-09-13 00:00:00,35.95,38.0,1.0526,94.60526315789475,101.0,0.0675938803894296,103.24,0.09127121001390792,兆豐證券,綠能環保,56,1597,0.1878823529411765,28.51785714285714,2021/9/9,850.0,2021/9/28,164873020.0,0.5,106.8,101.0
57,2021-09-16 00:00:00,3483,34833,力致三,7.07,3.0,3,無擔保,6,2550,100.0,2021-09-14 00:00:00,83.4,83.6,1.02,99.76076555023926,106.5,0.06755395683453225,108.22,0.08479520383693018,永豐金證,電腦及週邊設備業,278,7976,3.127843137254902,28.69064748201439,2021/9/10,255.0,2021/9/29,275963920.0,0.5,113.1,108.22
58,2021-09-17 00:00:00,6275,62756,元山六,6.98,3.0,5,有擔保,6,2550,100.0,2021-09-15 00:00:00,28.6,30.0,1.0619,95.33333333333334,108.6,0.139160839160839,110.95,0.1638111888111888,第一金證,電子零組件業,257,6889,2.70156862745098,26.80544747081712,2021/9/13,255.0,2021/9/30,282924490.0,0.5,115.0,110.95
59,2021-10-01 00:00:00,6257,62574,矽格四,44.4,15.0,3,無擔保,4,12750,101.0,2021-09-29 00:00:00,58.4,65.4,1.0296,89.2966360856269,104.6,0.1713767123287673,106.2,0.1892945205479455,凱基證券,半導體業,594,26059,2.043843137254902,43.87037037037037,2021/9/27,1275.0,2021/10/13,1353995740.0,0.5,110.5,106.2
60,2021-10-05 00:00:00,4714,47146,永捷六,13.5,3.0,5,有擔保,8,2680,101.0,2021-10-01 00:00:00,13.7,16.8,1.17,81.54761904761904,103.02,0.2633109489051095,105.37,0.2921284671532849,富邦證券,化學工業,142,3757,1.401865671641791,26.45774647887324,2021/9/29,268.0,2021/10/15,282394680.0,0.5,111.0,105.37
61,2021-10-07 00:00:00,8420,84201,明揚一,5.1,5.0,3,無擔保,6,4250,102.0,2022-09-28 00:00:00,67.5,75.0,1.02,90.0,102.38,0.1375555555555554,103.98,0.1553333333333333,台新證券,運動休閒,181,6931,1.630823529411765,38.29281767955801,2022/09/22,425.0,2022/10/07,437666000.0,0.5,106.0,102.98
