證券代號,證券名稱,本週股額,上週股額,增減數額,增減比率,發行比率(剩餘比率),2025/12/26
11011,台泥一永,80000,80000,0,0,100,
12561,鮮活果汁一KY,2000,2000,0,0,100,
13164,上曜四,1206,1340,-134,-10,30.15,
13166,上曜六,4000,4000,0,0,100,
13382,廣華二KY,6000,6000,0,0,100,
140201,遠東新E1永,10000,10000,0,0,100,
140202,遠東新E2永,14992,14992,0,0,99.94,
14363,華友聯三,6000,6000,0,0,100,
14364,華友聯四,20000,20000,0,0,100,
14381,三地開發一,9700,9700,0,0,100,
14664,聚隆四,4000,4000,0,0,100,
14722,三洋實業二,3000,3000,0,0,100,
14723,三洋實業三,4000,4000,0,0,100,
14743,弘裕三,3000,3000,0,0,100,
15142,亞力二,12000,12000,0,0,100,
15261,日馳一,5000,5000,0,0,100,
15364,和大四,15000,15000,0,0,100,
15601,中砂一,9994,9994,0,0,99.94,
15864,和勤四,2000,2000,0,0,100,
15865,和勤五,2902,2902,0,0,96.73,
15894,永冠四KY,10316,10316,0,0,68.77,
15952,川寶二,910,910,0,0,30.33,
15984,岱宇四,2000,2000,0,0,100,
16095,大亞五,20000,20000,0,0,100,
17813,合世三,2000,2000,0,0,100,
17863,科妍三,4000,4000,0,0,100,
18156,富喬六,85,85,0,0,2.12,
19094,榮成四,160,160,0,0,2.28,
20344,允強四,20000,20000,0,0,100,
20632,世鎧二,145,145,0,0,2.41,
20662,世德二,2378,2378,0,0,59.45,
21043,國際中橡三,35000,35000,0,0,100,
22013,裕隆三,69999,69999,0,0,99.99,
22283,劍麟三,2787,2787,0,0,92.9,
22362,百達二KY,5,5,0,0,0.25,
22471,汎德永業一,10000,10000,0,0,100,
22472,汎德永業二,10000,10000,0,0,100,
23372,旺宏二,13326,13621,-295,-2.16,44.42,
23383,光罩三,979,979,0,0,4.89,
23511,順德一,12000,12000,0,0,100,
23682,金像電二,442,1401,-959,-68.45,1.1,
23683,金像電三,90000,90000,0,0,100,
24023,毅嘉三,10000,10000,0,0,100,
24271,三商電一,4684,4684,0,0,93.68,
24361,偉詮電一,10999,10999,0,0,99.99,
24394,美律四,25000,25000,0,0,100,
24395,美律五,5000,5000,0,0,100,
24423,新美齊三,9001,9001,0,0,90.01,
24424,新美齊四,5928,5928,0,0,98.8,
24616,光群雷六,2560,2560,0,0,42.66,
24624,良得電四,2443,2443,0,0,61.07,
24642,盟立二,9803,9803,0,0,98.03,
24762,鉅祥二,3895,3895,0,0,38.95,
24866,一詮六,6000,6000,0,0,100,
25283,皇普三,6000,6000,0,0,100,
25284,皇普四,5000,5000,0,0,100,
25303,華建三,5000,5000,0,0,100,
25304,華建四,7607,7607,0,0,95.08,
25483,華固三,40000,40000,0,0,100,
25484,華固四,20000,20000,0,0,100,
26107,華航七,10349,10349,0,0,22.99,
26417,正德七,5767,5767,0,0,97.74,
26418,正德八,7186,7186,0,0,92.12,
27271,王品一,6999,6999,0,0,99.98,
27323,六角三,6000,6000,0,0,100,
27324,六角四,6000,6000,0,0,100,
27431,山富一,3000,3000,0,0,100,
27531,八方雲集一,8000,8000,0,0,100,
27532,八方雲集二,2000,2000,0,0,100,
27551,揚秦一,1199,1199,0,0,59.95,
27561,聯發國際一,2950,2950,0,0,98.33,
29051,三商一,2547,2547,0,0,11.07,
29061,高林一,4600,4600,0,0,46,
30061,晶豪科一,9999,9999,0,0,99.99,
30134,晟銘電四,5000,5000,0,0,100,
30165,嘉晶五,5000,5000,0,0,100,
30321,偉訓一,10000,10000,0,0,100,
30322,偉訓二,10000,10000,0,0,100,
30336,威健六,4359,4359,0,0,21.79,
30337,威健七,25000,25000,0,0,100,
30371,欣興一,40000,40000,0,0,100,
30401,遠見一,3524,3534,-10,-0.28,70.48,
30454,台灣大四,70000,70000,0,0,100,
30455,台灣大五,30000,30000,0,0,100,
30882,艾訊二,3686,3686,0,0,46.07,
30922,鴻碩二,463,463,0,0,18.52,
30954,及成四,1500,1500,0,0,100,
31222,笙泉二,1991,1991,0,0,99.55,
31282,昇銳二,1083,1083,0,0,36.1,
31311,弘塑一,10000,10000,0,0,100,
31312,弘塑二,10000,10000,0,0,100,
31351,凌航一,10000,10000,0,0,100,
31382,耀登二,7000,7000,0,0,100,
31413,晶宏三,8000,8000,0,0,100,
31672,大量二,4967,4967,0,0,99.34,
31882,鑫龍騰二,5365,5365,0,0,89.41,
32071,耀勝一,4871,4871,0,0,97.42,
32571,虹冠電一,5000,5000,0,0,100,
32723,東碩三,2997,2997,0,0,99.9,
32843,太普高三,2000,2000,0,0,100,
33035,岱稜五,5000,5000,0,0,100,
33055,昇貿五,1058,1067,-9,-0.84,13.22,
33121,弘憶股一,9999,9999,0,0,99.99,
33133,斐成三,3943,3943,0,0,98.57,
33225,建舜電五,1500,1500,0,0,100,
33233,加百裕三,608,765,-157,-20.52,15.2,
33245,雙鴻五,15000,15000,0,0,100,
33465,麗清五,202,202,0,0,6.73,
33466,麗清六,3000,3000,0,0,100,
33571,臺慶科一,9341,9567,-226,-2.36,84.91,
33621,先進光一,11999,11999,0,0,99.99,
33763,新日興三,7969,7969,0,0,99.61,
33881,崇越電一,6999,6999,0,0,99.98,
33902,旭軟二,2000,2000,0,0,100,
34163,融程電三,4198,4198,0,0,83.96,
34793,安勤三,6500,6500,0,0,100,
34834,力致四,2000,2000,0,0,100,
34843,崧騰三,2545,2545,0,0,63.62,
35161,亞帝歐一,3500,3500,0,0,100,
35181,柏騰一,3000,3000,0,0,100,
35221,御嵿一,1231,1231,0,0,82.06,
35265,凡甲五,2474,2474,0,0,30.92,
35266,凡甲六,7875,7875,0,0,78.75,
35267,凡甲七,15000,15000,0,0,100,
35431,州巧一,#N/A,#N/A,#N/A,#N/A,#N/A,
35482,兆利二,7999,7999,0,0,99.98,
35483,兆利三,15000,15000,0,0,100,
35513,世禾三,5000,5000,0,0,100,
35642,其陽二,5000,5000,0,0,100,
35831,辛耘一,2000,2000,0,0,100,
35832,辛耘二,9989,9989,0,0,99.89,
35871,閎康一,4507,4507,0,0,75.11,
35914,艾笛森四,3000,3000,0,0,100,
36053,宏致三,1357,1357,0,0,13.57,
36173,碩天三,15000,15000,0,0,100,
36534,健策四,107,803,-696,-86.67,0.35,
36535,健策五,60,395,-335,-84.81,0.3,
36804,家登四,3561,3561,0,0,35.61,
36841,榮昌一,3000,3000,0,0,100,
36872,歐買尬二,4000,4000,0,0,100,
36873,歐買尬三,2000,2000,0,0,100,
36894,湧德四,135,135,0,0,2.7,
36913,碩禾三,20000,20000,0,0,100,
37012,大眾控二,291,291,0,0,4.85,
37022,大聯大二,35000,35000,0,0,100,
37023,大聯大三,20000,20000,0,0,100,
37075,漢磊五,7416,7525,-109,-1.44,74.16,
37083,上緯投控三,3037,3037,0,0,30.37,
37084,上緯投控四,632,632,0,0,6.32,
37131,新晶投控一,386,386,0,0,7.72,
41135,聯上五,4000,4000,0,0,100,
41236,晟德六,6362,6362,0,0,90.88,
41237,晟德七,19443,19443,0,0,77.77,
41295,聯合五,6999,6999,0,0,99.98,
41372,麗豐二KY,11000,11000,0,0,100,
41645,承業醫五,9000,9000,0,0,100,
41684,醣聯四,5000,5000,0,0,100,
41903,佐登三KY,6417,6417,0,0,91.67,
44163,三圓三,9559,9559,0,0,95.59,
44383,廣越三,8000,8000,0,0,100,
44391,冠星一KY,4938,4938,0,0,98.76,
44421,竣邦一KY,1069,1130,-61,-5.39,71.26,
45102,高鋒二,8532,8532,0,0,94.8,
45421,科嶠一,2967,2967,0,0,98.9,
45491,桓達一,5000,5000,0,0,100,
45554,氣立四,5000,5000,0,0,100,
45581,寶緯一,3000,3000,0,0,100,
45641,元翎一,5500,5500,0,0,100,
45663,時碩工業三,416,416,0,0,5.2,
45691,六方科一KY,5000,5000,0,0,100,
45721,駐龍一,5000,5000,0,0,100,
45811,光隆精密一KY,5000,5000,0,0,100,
47223,國精化三,5000,5000,0,0,100,
47393,康普三,6945,6945,0,0,99.21,
47394,康普四,6000,6000,0,0,100,
47471,強生一,615,615,0,0,15.37,
47721,台特化一,20000,20000,0,0,100,
49066,正文六,6452,6452,0,0,43.01,
49165,事欣科五,349,349,0,0,6.98,
49793,華星光三,6000,6000,0,0,100,
49794,華星光四,2000,2000,0,0,100,
50097,榮剛七,49999,49999,0,0,99.99,
52011,凱衛一,1000,1000,0,0,100,
52091,新鼎一,2996,2996,0,0,99.86,
52121,凌網一,4000,4000,0,0,100,
52303,雷笛克光學三,596,596,0,0,19.86,
52441,弘凱一,4863,4863,0,0,97.26,
52452,智晶二,2952,2952,0,0,98.4,
52635,智崴五,4037,4037,0,0,50.46,
53064,桂盟四,9999,9999,0,0,99.99,
53095,系統電五,426,429,-3,-0.69,8.52,
53096,系統電六,7000,7000,0,0,100,
53097,系統電七,5000,5000,0,0,100,
53211,美而快一,2000,2000,0,0,100,
53887,中磊七,30000,30000,0,0,100,
54342,崇越二,3044,3044,0,0,30.44,
54391,高技一,20000,20000,0,0,100,
54501,南良一,4998,4998,0,0,99.96,
54573,宣德三,20000,20000,0,0,100,
55434,桓鼎四KY,1000,1000,0,0,100,
56086,四維航六,4999,4999,0,0,99.98,
56087,四維航七,6000,6000,0,0,100,
59055,南仁湖四,1986,1986,0,0,33.1,
60151,宏遠證一,1244,1244,0,0,17.77,
60152,宏遠證二,1650,1650,0,0,27.5,
61041,創惟一,4368,4368,0,0,87.36,
61112,大宇資二,3000,3000,0,0,100,
61171,迎廣一,2008,2008,0,0,40.16,
61172,迎廣二,4742,4742,0,0,94.84,
61255,廣運五,5700,5700,0,0,95,
61263,信音三,1990,1990,0,0,39.8,
61394,亞翔四,278,301,-23,-7.64,5.56,
61506,撼訊六,4000,4000,0,0,100,
61565,松上五,3500,3500,0,0,100,
61635,華電網五,3000,3000,0,0,100,
61777,達麗七,6000,6000,0,0,100,
61793,亞通三,473,473,0,0,15.76,
61794,亞通四,5954,5954,0,0,99.23,
61827,合晶七,2976,2976,0,0,99.2,
61828,合晶八,15000,15000,0,0,100,
61843,大豐電三,13065,13065,0,0,87.1,
61875,萬潤五,2204,2204,0,0,44.08,
61894,豐藝四,1248,1248,0,0,24.96,
61907,萬泰科七,10000,10000,0,0,100,
61965,帆宣五,2294,2358,-64,-2.71,9.17,
61973,佳必琪三,10000,10000,0,0,100,
62075,雷科五,6000,6000,0,0,100,
62076,雷科六,2000,2000,0,0,100,
62093,今國光三,4500,4500,0,0,100,
62194,富旺四,6000,6000,0,0,100,
62433,迅杰三,3000,3000,0,0,100,
62695,台郡五,20000,20000,0,0,100,
62696,台郡六,10000,10000,0,0,100,
62745,台燿五,40000,40000,0,0,100,
62756,元山六,94,94,0,0,3.13,
62822,康舒二,40000,40000,0,0,100,
62843,佳邦三,7000,7000,0,0,100,
629010,良維十,961,976,-15,-1.53,12.01,
64145,樺漢五,29997,29997,0,0,99.99,
64146,樺漢六,10000,10000,0,0,66.66,
64251,易發一,755,1022,-267,-26.12,37.75,
64324,今展科四,2168,2175,-7,-0.32,86.72,
64422,光聖二,10000,10000,0,0,100,
64423,光聖三,15000,15000,0,0,100,
64512,訊芯二KY,25000,25000,0,0,100,
64693,大樹三,10000,10000,0,0,100,
64773,安集三,1931,1931,0,0,38.62,
64774,安集四,374,374,0,0,3.74,
64775,安集五,6000,6000,0,0,100,
65096,聚和六,5000,5000,0,0,100,
65331,晶心科一,15000,15000,0,0,100,
65381,倉和一,3000,3000,0,0,100,
65461,正基一,5036,5036,0,0,83.93,
65521,易華電一,5000,5000,0,0,100,
65841,南俊國際一,1658,1703,-45,-2.64,23.68,
65842,南俊國際二,1555,1584,-29,-1.83,51.83,
65851,鼎基一,2731,2731,0,0,54.62,
65852,鼎基二,806,806,0,0,40.3,
65914,動力四KY,2500,2500,0,0,100,
66163,特昇三KY,1070,1070,0,0,89.16,
66241,萬年清一,374,411,-37,-9,37.4,
66292,泰金二KY,2933,2933,0,0,97.76,
66411,基士德一KY,814,814,0,0,27.13,
66451,金萬林一創,700,700,0,0,100,
66642,群翊二,12500,12500,0,0,100,
66702,復盛應用二,#N/A,#N/A,#N/A,#N/A,#N/A,
66801,鑫創電子一,3122,3122,0,0,89.2,
67062,惠特二,5000,5000,0,0,100,
67152,嘉基二,3000,3000,0,0,100,
67531,龍德造船一,5217,5217,0,0,52.17,
67681,志強一KY,5910,5910,0,0,59.1,
67711,平和環保一創,3500,3500,0,0,100,
67961,晉弘一,2000,2000,0,0,100,
67962,晉弘二,2000,0,2000,0,100,
68041,明係一,1991,1991,0,0,99.55,
68061,森崴能源一,20318,20318,0,0,67.72,
68211,聯寶一,3000,3000,0,0,100,
68231,濾能一,1,1,0,0,0.04,
68301,汎銓一,4999,4999,0,0,99.98,
68351,圓裕一,6000,6000,0,0,100,
68401,東研信超一,1995,1995,0,0,99.75,
68431,進典一,3000,3000,0,0,100,
68461,綠茵一,3490,3490,0,0,99.71,
68462,綠茵二,3489,3489,0,0,99.68,
68541,錼創科技一KY創,8000,8000,0,0,100,
68631,永道一KY,10000,10000,0,0,100,
68701,騰雲一,3500,3500,0,0,100,
68702,騰雲二,3455,3499,-44,-1.25,98.71,
68731,泓德能源一,235,235,0,0,2.35,
68732,泓德能源二,30000,30000,0,0,100,
68741,倍力一,3000,3000,0,0,100,
68901,來億一KY,45000,45000,0,0,100,
68902,來億二KY,5000,5000,0,0,100,
69041,伯鑫一,#N/A,#N/A,#N/A,#N/A,#N/A,
69571,裕慶一KY,10000,10000,0,0,100,
69821,大井泵浦一,2994,2994,0,0,99.8,
69822,大井泵浦二,1990,1990,0,0,99.5,
74022,邑錡二,3994,3994,0,0,99.85,
75561,意德士一永,1000,1000,0,0,100,
75562,意德士二,2000,2000,0,0,100,
77131,威力德生醫一,5000,5000,0,0,100,
80273,鈦昇三,3535,3542,-7,-0.19,35.35,
80282,昇陽半導體二,16361,16498,-137,-0.83,81.8,
80426,金山電六,3500,3500,0,0,100,
80506,廣積六,7577,7577,0,0,47.35,
80872,麗升能源二,4979,4979,0,0,99.58,
80914,翔名四,5500,5500,0,0,100,
80924,建暐四,924,924,0,0,54.35,
81042,錸寶二,839,839,0,0,13.98,
811210,至上十,30000,30000,0,0,100,
81473,正淩三,2988,2988,0,0,99.6,
81551,博智一,8054,8115,-61,-0.75,80.54,
81714,天宇四,2500,2500,0,0,100,
81715,天宇五,2368,2368,0,0,94.72,
82551,朋程一,7999,7999,0,0,99.98,
82992,群聯二,17453,23478,-6025,-25.66,29.08,
83742,羅昇二,5000,5000,0,0,100,
84041,百和興業一KY,10000,10000,0,0,100,
84113,福貞三KY,12000,12000,0,0,100,
84221,可寧衛一,10034,10652,-618,-5.8,40.13,
84222,可寧衛二,19772,19923,-151,-0.75,98.86,
84331,弘帆一,1269,1269,0,0,42.3,
84332,弘帆二,1000,1000,0,0,100,
84333,弘帆三,4000,4000,0,0,100,
84422,威宏二KY,3615,3615,0,0,90.37,
84623,柏文三,2670,2670,0,0,89,
84662,美吉吉二KY,252,252,0,0,5.04,
84672,波力二KY,1160,1160,0,0,55.23,
84673,波力三KY,3633,3633,0,0,93.15,
84732,山林水二,2488,2488,0,0,24.88,
84781,東哥遊艇一,15000,15000,0,0,100,
84881,吉源一KY,3000,3000,0,0,100,
84891,三貝德一,1963,1976,-13,-0.65,65.43,
89277,北基七,5900,5900,0,0,100,
89278,北基八,4998,4998,0,0,99.96,
89964,高力四,2672,2672,0,0,26.72,
98026,鈺齊六KY,9998,9998,0,0,99.98,
99063,欣巴巴三,7000,7000,0,0,100,
99332,中鼎二,59999,59999,0,0,99.99,
99353,慶豐富三,3000,3000,0,0,100,
99392,宏全二,39999,39999,0,0,99.99,
99412,裕融二,80000,80000,0,0,100,
99587,世紀鋼七,40000,40000,0,0,100,
99588,世紀鋼八永,20000,20000,0,0,100,
